congress,chamber,id,district,Medfaminc,memberparty,presparty
111,Senate,0400000US01,Alabama,50429,200,100
111,Senate,0400000US01,Alabama,50429,200,100
111,Senate,0400000US02,Alaska,76962,200,100
111,Senate,0400000US02,Alaska,76962,100,100
111,Senate,0400000US04,Arizona,55353,200,100
111,Senate,0400000US04,Arizona,55353,200,100
111,Senate,0400000US05,Arkansas,47049,100,100
111,Senate,0400000US05,Arkansas,47049,100,100
111,Senate,0400000US06,California,65481,100,100
111,Senate,0400000US06,California,65481,100,100
111,Senate,0400000US08,Colorado,67800,100,100
111,Senate,0400000US08,Colorado,67800,100,100
111,Senate,0400000US09,Connecticut,81246,100,100
111,Senate,0400000US09,Connecticut,81246,100,100
111,Senate,0400000US10,Delaware,68746,100,100
111,Senate,0400000US10,Delaware,68746,100,100
111,Senate,0400000US12,Florida,53093,100,100
111,Senate,0400000US12,Florida,53093,200,100
111,Senate,0400000US13,Georgia,55209,200,100
111,Senate,0400000US13,Georgia,55209,200,100
111,Senate,0400000US15,Hawaii,76134,100,100
111,Senate,0400000US15,Hawaii,76134,100,100
111,Senate,0400000US16,Idaho,52342,200,100
111,Senate,0400000US16,Idaho,52342,200,100
111,Senate,0400000US17,Illinois,65417,100,100
111,Senate,0400000US17,Illinois,65417,200,100
111,Senate,0400000US18,Indiana,55368,200,100
111,Senate,0400000US18,Indiana,55368,100,100
111,Senate,0400000US19,Iowa,60917,200,100
111,Senate,0400000US19,Iowa,60917,100,100
111,Senate,0400000US20,Kansas,61013,200,100
111,Senate,0400000US20,Kansas,61013,200,100
111,Senate,0400000US21,Kentucky,50392,200,100
111,Senate,0400000US21,Kentucky,50392,200,100
111,Senate,0400000US22,Louisiana,52456,200,100
111,Senate,0400000US22,Louisiana,52456,100,100
111,Senate,0400000US23,Maine,58197,200,100
111,Senate,0400000US23,Maine,58197,200,100
111,Senate,0400000US24,Maryland,83137,100,100
111,Senate,0400000US24,Maryland,83137,100,100
111,Senate,0400000US25,Massachusetts,78653,100,100
111,Senate,0400000US25,Massachusetts,78653,100,100
111,Senate,0400000US26,Michigan,56101,100,100
111,Senate,0400000US26,Michigan,56101,100,100
111,Senate,0400000US27,Minnesota,69625,100,100
111,Senate,0400000US27,Minnesota,69625,100,100
111,Senate,0400000US28,Mississippi,45484,200,100
111,Senate,0400000US28,Mississippi,45484,200,100
111,Senate,0400000US29,Missouri,56214,200,100
111,Senate,0400000US29,Missouri,56214,100,100
111,Senate,0400000US30,Montana,54507,100,100
111,Senate,0400000US30,Montana,54507,100,100
111,Senate,0400000US31,Nebraska,60812,100,100
111,Senate,0400000US31,Nebraska,60812,200,100
111,Senate,0400000US32,Nevada,60192,100,100
111,Senate,0400000US32,Nevada,60192,200,100
111,Senate,0400000US33,New Hampshire,74634,200,100
111,Senate,0400000US33,New Hampshire,74634,100,100
111,Senate,0400000US34,New Jersey,82427,100,100
111,Senate,0400000US34,New Jersey,82427,100,100
111,Senate,0400000US35,New Mexico,51020,100,100
111,Senate,0400000US35,New Mexico,51020,100,100
111,Senate,0400000US36,New York,65897,100,100
111,Senate,0400000US36,New York,65897,100,100
111,Senate,0400000US37,North Carolina,52920,200,100
111,Senate,0400000US37,North Carolina,52920,100,100
111,Senate,0400000US38,North Dakota,65207,100,100
111,Senate,0400000US38,North Dakota,65207,100,100
111,Senate,0400000US39,Ohio,56518,100,100
111,Senate,0400000US39,Ohio,56518,200,100
111,Senate,0400000US40,Oklahoma,51958,200,100
111,Senate,0400000US40,Oklahoma,51958,200,100
111,Senate,0400000US41,Oregon,56661,100,100
111,Senate,0400000US41,Oregon,56661,100,100
111,Senate,0400000US42,Pennsylvania,61890,200,100
111,Senate,0400000US42,Pennsylvania,61890,100,100
111,Senate,0400000US44,Rhode Island,67814,100,100
111,Senate,0400000US44,Rhode Island,67814,100,100
111,Senate,0400000US45,South Carolina,51704,200,100
111,Senate,0400000US45,South Carolina,51704,200,100
111,Senate,0400000US46,South Dakota,59987,100,100
111,Senate,0400000US46,South Dakota,59987,200,100
111,Senate,0400000US47,Tennessee,51083,200,100
111,Senate,0400000US47,Tennessee,51083,200,100
111,Senate,0400000US48,Texas,56575,200,100
111,Senate,0400000US48,Texas,56575,200,100
111,Senate,0400000US49,Utah,61618,200,100
111,Senate,0400000US49,Utah,61618,200,100
111,Senate,0400000US50,Vermont,62575,100,100
111,Senate,0400000US50,Vermont,62575,328,100
111,Senate,0400000US51,Virginia,72476,100,100
111,Senate,0400000US51,Virginia,72476,100,100
111,Senate,0400000US53,Washington,67328,100,100
111,Senate,0400000US53,Washington,67328,100,100
111,Senate,0400000US54,West Virginia,48927,100,100
111,Senate,0400000US54,West Virginia,48927,100,100
111,Senate,0400000US55,Wisconsin,62088,100,100
111,Senate,0400000US55,Wisconsin,62088,100,100
111,Senate,0400000US56,Wyoming,65841,200,100
111,Senate,0400000US56,Wyoming,65841,200,100
111,House,5001100US0649,"Congressional District 49 (111th Congress), California",61748,200,100
111,House,5001100US0650,"Congressional District 50 (111th Congress), California",81364,200,100
111,House,5001100US0651,"Congressional District 51 (111th Congress), California",53953,100,100
